Communication and Computation in Buildings: A Short Introduction and Overview	2010	Volume: 57 , Issue: 11 	"Dietrich, D. ; Bruckner, D. ; Zucker, G. ; Palensky, P. "			
Examining the use of digital design and fabrication technologies in design education	2011	"Gu, Ning ; Jones, Wyn ; Williams, Anthony "	E -Business and E -Government (ICEE), 2011 International Conference on 			
The architectural values of Evidence-based design	2011	Electric Technology and Civil Engineering (ICETCE), 2011 International Conference on 	"Yiping Wang ; Baofeng Li "			
From making form to finding form: A new method of building form design	2011	Multimedia Technology (ICMT), 2011 International Conference on 	"TianXiang Leng ; Ping Su "			
Intelligent Architectural Components and Design Module for Oriental Wooden Buildings	2011	Information Science and Applications (ICISA), 2011 International Conference on 	"Ahn, E.Y. ; Kim, J.W."			
3D modeling of indoor surfaces with occlusion and clutter	2011	Mechatronics (ICM), 2011 IEEE International Conference on 	"Abdul Shukor, S.A. ; Young, K.W. ; Rushforth, E.J."			
Research on the Building Information Model of the stone building for heritages conservation With the outer south gate of the Ta Keo Temple as an example	2011	Electric Technology and Civil Engineering (ICETCE), 2011 International Conference on 	"Di Yajing ; Wu Cong "			
Research on application of BIM technology in construction project	2011	Computer Science and Service System (CSSS), 2011 International Conference on 	"Qing Liu ; Tao Gao ; Jianping Wang "			
The shape of empty space: Human-centred cognitive foundations in computing for spatial design	2012	Visual Languages and Human-Centric Computing (VL/HCC), 2012 IEEE Symposium on 	"Bhatt, M. ; Schultz, C. ; Minqian Huang "			
An IT-based System to Facilitate Architectural Design	2012	Information Technology: New Generations (ITNG), 2012 Ninth International Conference on 	"Ardekani, K. ; Ardekani, A. "			
Smart plugs for building energy management systems	2012	Smart Grids (ICSG), 2012 2nd Iranian Conference on 	"Morsali, H. ; Shekarabi, S.M. ; Ardekani, K. ; Khayami, H. "			
BIM technology of computer aided architectural design and green architecture design	2012	Robotics and Applications (ISRA), 2012 IEEE Symposium on 	"Zhao Lei ; Yang Weifang "			
ArchiBrain: A Conceptual Platform for the Visualization of Collaborative Design	2012	Information Visualisation (IV), 2012 16th International Conference on 	"Van Bouwel, T. ; Vande Moere, A. ; Boeykens, S. "			
BIM + AR: Onsite information sharing and communication via advanced visualization	2012	Computer Supported Cooperative Work in Design (CSCWD), 2012 IEEE 16th International Conference on 	"Xiangyu Wang ; Love, P.E"			
4 Years history: From 2D to BIM for CH: The main spire on Milan Cathedral	2012	Virtual Systems and Multimedia (VSMM), 2012 18th International Conference on 	"Achille, C. ; Fassi, F. ; Fregonese, L. "			
Zone Modelling and Visualisation: Keys to the Design of Low Carbon Buildings	2012	Information Visualisation (IV), 2012 16th International Conference on 	"Hetherington, R. ; Laney, R. ; Peake, S. "			
Towards a methodology for 3D content models: The reconstruction of ancient vaults for maintenance and structural behaviour in the logic of BIM management	2012	Virtual Systems and Multimedia (VSMM), 2012 18th International Conference on 	"Oreni, D. ; Brumana, R. ; Cuca, B. "			
Research of sustainable design based on technology of BIM	2011 	Remote Sensing, Environment and Transportation Engineering (RSETE), 2011 International Conference on 	"Qidong Ren ; Dalu Tan ; Cong Tan "			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
